Run,Hexacontroller,FCtrl_Global_lock_count,FCtrl_Global_unassigned_fcmd_count,FCtrl_Global_fc_error_fcmd_count,ClocksAndResets_Global_pusm_left_ready_action_counter,ClocksAndResets_Global_lock_filter_loss_of_lock_count,RocDaqCtrl_Global_error_flags_unused_state,RocDaqCtrl_Global_error_flags_bunch_counter,FormatterBuffer_Global_error_count_format,FormatterBuffer_Global_error_count_hamming,FormatterBuffer_Global_error_count_pass_thru
01,42,1,0,0,0,0,0,0,0,0,0
02,42,1,0,0,0,0,0,0,0,0,0
03,42,1,0,0,0,0,0,0,0,0,0
04,42,1,0,0,0,0,0,0,0,0,0
05,42,1,0,0,0,0,0,0,0,0,0
06,42,1,0,0,0,0,0,0,0,0,0
07,42,1,0,0,0,0,0,0,0,0,0
08,42,1,0,0,0,0,0,0,0,0,0
09,42,1,0,0,0,0,0,0,0,0,0
10,42,1,0,0,0,0,0,0,0,0,0
11,42,1,0,0,0,0,0,0,0,0,0
12,42,1,0,0,0,0,0,0,0,0,0
13,42,1,0,0,0,0,0,0,0,0,0
14,42,1,0,0,0,0,0,0,0,0,0
14,42,1,0,0,0,0,0,0,0,0,0
14,42,1,0,0,0,0,0,0,0,0,0
15,42,1,0,0,0,0,0,0,1,0,0
16,42,1,0,0,0,0,0,0,0,0,0
16,42,1,0,0,0,0,0,0,0,0,0
17_PRBS,42,1,0,0,0,0,0,0,0,0,0
18_PRBS,42,1,0,0,0,0,0,0,0,0,0
19_PRBS,42,1,0,0,0,0,0,0,0,0,0
20_ZSzeros,42,1,0,0,0,0,0,0,0,0,0
20_ZSzeros,42,1,0,0,0,0,0,0,0,0,0
21_ZSones,42,1,0,0,0,0,0,0,0,0,0
22_PRBS,42,1,0,0,0,0,0,0,0,0,0
01,43,1,0,0,0,0,0,0,0,0,0
02,43,1,0,0,0,0,0,0,0,0,0
03,43,1,0,0,0,0,0,0,0,0,0
04,43,1,0,0,0,0,0,0,0,0,0
05,43,1,0,0,0,0,0,0,0,0,0
06,43,1,0,0,0,0,0,0,0,0,0
07,43,1,0,0,0,0,0,0,0,0,0
08,43,1,0,0,0,0,0,0,0,0,0
09,43,1,0,0,0,0,0,0,0,0,0
10,43,1,0,0,0,0,0,0,0,0,0
11,43,1,0,0,0,0,0,0,0,0,0
12,43,1,0,0,0,0,0,0,0,0,0
13,43,1,0,0,0,0,0,0,0,0,0
14,43,1,0,0,0,0,0,0,0,0,0
14,43,1,0,0,0,0,0,0,0,0,0
14,43,1,0,0,0,0,0,0,0,0,0
15,43,1,0,0,0,0,0,0,0,0,0
16,43,1,0,0,0,0,0,0,0,0,0
16,43,1,0,0,0,0,0,0,0,0,0
17_PRBS,43,1,0,0,0,0,0,0,0,0,0
18_PRBS,43,1,0,0,0,0,0,0,0,0,0
19_PRBS,43,1,0,0,0,0,0,0,0,0,0
20_ZSzeros,43,1,0,0,0,0,0,0,0,0,0
20_ZSzeros,43,1,0,0,0,0,0,0,0,0,0
21_ZSones,43,1,0,0,0,0,0,0,0,0,0
22_PRBS,43,1,0,0,0,0,0,0,0,0,0
