Run,Hexacontroller,PRBS_data_eTx0,PRBS_data_eTx1,PRBS_data_eTx2,PRBS_data_eTx3,PRBS_data_eTx4,PRBS_data_eTx5,BitDiff_eRx0,BitDiff_eRx1,BitDiff_eRx2,BitDiff_eRx3,BitDiff_eRx4,BitDiff_eRx5,nBitsDiff
17_PRBS,42,01000111100100010110011101010011,01000111100100010110001001010011,01000111100100010110011101010011,01000111100100010110011101010011,01000111100100010110011101010011,01000111100100010110011101010011,00000000000000000000000000000000,00000000000000000000010100000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,2
17_PRBS,42,01101111011000110100101110111001,01101111011000110100101110111001,01101111011000110100101110111001,01101111011000110100101110111001,01101111011000110100101110101001,01101111011000110100101110111001,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000010000,00000000000000000000000000000000,1
17_PRBS,42,01100011010010111011100100010101,01100011010010111011100110010101,01100011010010111011100110010101,01100011010010111011100110010101,01100011010010111011100110010101,01100011010010111011100110010101,00000000000000000000000010000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
17_PRBS,42,10010011011010110111101100011010,10010011011010110111101100011010,10010011011010110111101100011010,10010011011010110111101100011010,10010011011010110111101101011010,10010011011010110111101100011010,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000001000000,00000000000000000000000000000000,1
17_PRBS,42,00111100100010111011101010011111,00111100100010110011101010011111,00111100100010110011101010011111,00111100100010110011101010011111,00111100100010110011101010011111,00111100100010110011101010011111,00000000000000001000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
17_PRBS,42,01010011111010000111000100100110,01010011111010000111000100100110,01010011111010000111000100100110,01010011111010000111000100100110,01010011111010000111100100100110,01010011111010000111000100100110,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000100000000000,00000000000000000000000000000000,1
17_PRBS,42,10111011100110010101011111110000,10111011100110010101011111110000,10111011100110010101011111110000,10111011100110010101011111110000,10111011100110010101011111110000,10111011100110010101011111110100,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000100,1
17_PRBS,42,01100101010111111100000010000011,01100101010111111100000010000011,01100101010111110100000010000011,01100101010111111100000010000011,01100101010111111100000010000011,01100101010111111100000010000011,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000001000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
17_PRBS,42,11101000011100010010011011010110,11101000011100010010011011010110,11101000011100010010011011010110,11101000011100010010011011010110,11101000011110010010011011010110,11101000011100010010011011010110,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000010000000000000000000,00000000000000000000000000000000,1
18_PRBS,42,00101000111100100010111011101010,00101000111100100010110011101010,00101000111100100010110011101010,00101000111100100010110011101010,00101000111100100010110011101010,00101000111100100010110011101010,00000000000000000000001000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,42,10100111110100001110001001001101,10100111110100001110001001001101,10100111110100001110001001001001,10100111110100001110001001001101,10100111110100001110001001001101,10100111110100001110001001001101,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000100,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,42,01101111011000110100101110111001,01101111011000110100101110111001,01101111011000100100101110111001,01101111011000110100101110111001,01101111011000110100101110111001,01101111011000110100101110111001,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000010000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,42,10000011000010100011110010001011,10000011000010100011110010001011,10000011000010100011110010001011,10000011000010100011110000001011,10000011000010100011110010001011,10000011000010100011110010001011,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000010000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,42,00101010111111100000010000011000,00101010111111100000010000011000,00101010110111100000010000011000,00101010111111100000010000011000,00101010111111100000010000011000,00101010111111100000010000011000,00000000000000000000000000000000,00000000000000000000000000000000,00000000001000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,42,01100101010111111100000010000011,01100101010111111100000010000011,01100101010111111100000010000011,01100101010111111100000010001011,01100101010111111100000010000011,01100101010111111100000010000011,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000001000,00000000000000000000000000000000,00000000000000000000000000000000,1
