Run,Time,Current [nA],Calib [p/cm2/MU],Time [s],MU,Energy [MeV],Flux [1/cm2/s],Fluence [1/cm2],Tot Fluence [1/cm2],Notes,Hexa42Log,Hexa43Log
01,09:27:19,010,3.75E+07,7.3,00300,217,1.54E+09,1.13E+10,1.13E+10,,Run_01_testReport_hexa42_2024-01-27_09-27-38.json,Run_01_testReport_hexa43_2024-01-27_09-27-37.json
02,09:35:21,010,3.75E+07,8.1,00332,217,1.54E+09,1.25E+10,2.37E+10,,Run_02_testReport_hexa42_2024-01-27_09-35-37.json,Run_02_testReport_hexa43_2024-01-27_09-35-36.json
03,09:55:52,010,3.75E+07,057,02708,217,1.78E+09,1.02E+11,1.25E+11,,Run_03_testReport_hexa42_2024-01-27_09-57-10.json,Run_03_testReport_hexa43_2024-01-27_09-57-10.json
04,10:13:13,050,4.06E+07,044,12753,217,1.18E+10,5.18E+11,6.43E+11,,Run_04_testReport_hexa42_2024-01-27_10-14-15.json,Run_04_testReport_hexa43_2024-01-27_10-14-15.json
05,10:20:04,050,4.06E+07,023,06423,217,1.13E+10,2.61E+11,9.04E+11,,Run_05_testReport_hexa42_2024-01-27_10-20-41.json,Run_05_testReport_hexa43_2024-01-27_10-20-41.json
06,10:26:46,050,4.06E+07,066,19615,217,1.21E+10,7.96E+11,1.70E+12,,Run_06_testReport_hexa42_2024-01-27_10-28-05.json,Run_06_testReport_hexa43_2024-01-27_10-28-04.json
07,10:38:31,050,4.06E+07,090,24570,217,1.11E+10,9.98E+11,2.70E+12,,Run_07_testReport_hexa42_2024-01-27_10-40-17.json,Run_07_testReport_hexa43_2024-01-27_10-40-18.json
08,10:45:01,050,4.06E+07,188,49934,217,1.08E+10,2.03E+12,4.73E+12,,Run_08_testReport_hexa42_2024-01-27_10-48-27.json,Run_08_testReport_hexa43_2024-01-27_10-48-28.json
09,10:57:22,050,4.06E+07,189,49946,217,1.07E+10,2.03E+12,6.75E+12,,Run_09_testReport_hexa42_2024-01-27_11-00-48.json,Run_09_testReport_hexa43_2024-01-27_11-00-49.json
10,11:09:26,050,4.06E+07,280,74635,217,1.08E+10,3.03E+12,9.78E+12,,Run_10_testReport_hexa42_2024-01-27_11-14-24.json,Run_10_testReport_hexa43_2024-01-27_11-14-25.json
11,11:25:39,050,4.06E+07,370,98811,217,1.08E+10,4.01E+12,1.38E+13,,Run_11_testReport_hexa42_2024-01-27_11-32-06.json,Run_11_testReport_hexa43_2024-01-27_11-32-08.json
12,11:40:48,050,4.06E+07,364,99195,217,1.11E+10,4.03E+12,1.78E+13,,Run_12_testReport_hexa42_2024-01-27_11-47-10.json,Run_12_testReport_hexa43_2024-01-27_11-47-12.json
13,11:55:48,050,4.06E+07,217,60780,217,1.14E+10,2.47E+12,2.03E+13,,Run_13_testReport_hexa42_2024-01-27_11-59-37.json,Run_13_testReport_hexa43_2024-01-27_11-59-39.json
14,12:13:38,050,4.06E+07,365,99999,217,1.11E+10,4.06E+12,2.43E+13,,Run_14_testReport_hexa42_2024-01-27_12-20-04.json,Run_14_testReport_hexa43_2024-01-27_12-20-06.json
15,12:28:18,100,4.46E+07,173,89980,217,2.32E+10,4.01E+12,2.84E+13,,Run_15_testReport_hexa42_2024-01-27_12-31-28.json,Run_15_testReport_hexa43_2024-01-27_12-31-29.json
16,12:59:46,100,4.46E+07,179,90768,217,2.26E+10,4.05E+12,3.24E+13,,Run_16_testReport_hexa42_2024-01-27_13-03-00.json,Run_16_testReport_hexa43_2024-01-27_13-03-01.json
17,13:10:05,100,4.46E+07,180,90345,217,2.24E+10,4.03E+12,3.64E+13,PRBS,Run_17_PRBS_testReport_hexa42_2024-01-27_13-13-46.json,Run_17_PRBS_testReport_hexa43_2024-01-27_13-13-25.json
18,13:17:54,100,4.46E+07,180,90600,217,2.24E+10,4.04E+12,4.05E+13,PRBS,Run_18_PRBS_testReport_hexa42_2024-01-27_13-21-17.json,Run_18_PRBS_testReport_hexa43_2024-01-27_13-21-08.json
19,13:25:29,100,4.46E+07,178,90418,217,2.27E+10,4.03E+12,4.45E+13,PRBS,Run_19_PRBS_testReport_hexa42_2024-01-27_13-28-48.json,Run_19_PRBS_testReport_hexa43_2024-01-27_13-28-38.json
20,13:37:37,100,4.46E+07,045,22871,217,2.27E+10,1.02E+12,4.55E+13,ZS set to Ones ZSm1 set to Zeros,Run_20_ZSzeros_testReport_hexa42_2024-01-27_13-38-35.json,Run_20_ZSzeros_testReport_hexa43_2024-01-27_13-38-37.json
21,13:45:53,100,4.46E+07,044,23038,217,2.34E+10,1.03E+12,4.66E+13,ZS set to Zeros ZSm1 set to Ones,Run_21_ZSones_testReport_hexa42_2024-01-27_13-46-50.json,Run_21_ZSones_testReport_hexa43_2024-01-27_13-46-49.json
22,13:51:09,100,4.46E+07,041,20575,217,2.24E+10,9.18E+11,4.7479E+13,PRBS,Run_22_PRBS_testReport_hexa42_2024-01-27_13-52-10.json,Run_22_PRBS_testReport_hexa43_2024-01-27_13-52-00.json
