Run,Hexacontroller,Aligner_Global_tmr_err_cnt_aligner,ChAligner_00_tmr_err_cnt_chan_aligner,ChAligner_00_tmr_err_cnt_chan_err,ChAligner_00_tmr_err_cnt_chan_eprxgrp,ChAligner_01_tmr_err_cnt_chan_aligner,ChAligner_01_tmr_err_cnt_chan_err,ChAligner_01_tmr_err_cnt_chan_eprxgrp,ChAligner_02_tmr_err_cnt_chan_aligner,ChAligner_02_tmr_err_cnt_chan_err,ChAligner_02_tmr_err_cnt_chan_eprxgrp,ChAligner_03_tmr_err_cnt_chan_aligner,ChAligner_03_tmr_err_cnt_chan_err,ChAligner_03_tmr_err_cnt_chan_eprxgrp,ChAligner_04_tmr_err_cnt_chan_aligner,ChAligner_04_tmr_err_cnt_chan_err,ChAligner_04_tmr_err_cnt_chan_eprxgrp,ChAligner_05_tmr_err_cnt_chan_aligner,ChAligner_05_tmr_err_cnt_chan_err,ChAligner_05_tmr_err_cnt_chan_eprxgrp,ChAligner_06_tmr_err_cnt_chan_aligner,ChAligner_06_tmr_err_cnt_chan_err,ChAligner_06_tmr_err_cnt_chan_eprxgrp,ChAligner_07_tmr_err_cnt_chan_aligner,ChAligner_07_tmr_err_cnt_chan_err,ChAligner_07_tmr_err_cnt_chan_eprxgrp,ChAligner_08_tmr_err_cnt_chan_aligner,ChAligner_08_tmr_err_cnt_chan_err,ChAligner_08_tmr_err_cnt_chan_eprxgrp,ChAligner_09_tmr_err_cnt_chan_aligner,ChAligner_09_tmr_err_cnt_chan_err,ChAligner_09_tmr_err_cnt_chan_eprxgrp,ChAligner_10_tmr_err_cnt_chan_aligner,ChAligner_10_tmr_err_cnt_chan_err,ChAligner_10_tmr_err_cnt_chan_eprxgrp,ChAligner_11_tmr_err_cnt_chan_aligner,ChAligner_11_tmr_err_cnt_chan_err,ChAligner_11_tmr_err_cnt_chan_eprxgrp,ClocksAndResets_Global_tmr_err_cnt_clocks_and_resets,ELinkProcessors_Global_tmr_err_cnt_elink_processors,ERx_Global_tmr_err_cnt_erx,ETx_Global_tmr_err_cnt_etx,EprxGrpTop_Global_tmr_err_cnt_eprxgrp_top,ErrTop_Global_tmr_err_cnt_err_top,FCtrl_Global_tmr_err_cnt_fast_ctrl_decoder,FormatterBuffer_Global_tmr_err_cnt_formatter_buffer,Misc_TMRErrCnt_Global_tmr_err_cnt_misc,PingPongSRAM_Global_tmr_err_cnt_bist_ctrl,RocDaqCtrl_Global_tmr_err_cnt_roc_daq_ctrl,Watchdog_Misc_Global_tmr_err_cnt_reset_request,ZS_Global_tmr_err_cnt_zero_suppress,ZSmOne_Global_tmr_err_cnt_zero_suppress_m
01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2
02,42,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
03,42,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,2,1,3,0,0,0,1,0,0,1,5,75,32
04,42,5,3,0,0,2,2,0,6,0,0,1,1,0,2,0,0,1,0,0,7,0,0,7,0,0,5,2,0,5,1,0,7,0,0,6,1,0,2,9,2,4,2,0,1,5,0,0,2,16,322,226
05,42,4,4,0,0,3,0,0,4,0,0,1,0,0,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,1,5,0,0,2,1,1,5,0,0,2,1,0,0,3,5,149,121
06,42,9,8,0,1,6,0,1,4,0,0,3,0,1,5,0,0,9,0,0,6,0,1,5,0,1,12,1,1,9,0,0,8,0,0,5,1,1,5,8,4,7,0,2,0,9,0,1,2,24,460,292
07,42,7,8,0,0,6,1,0,6,0,1,6,0,1,6,1,1,10,1,0,5,2,0,7,0,1,9,0,0,4,0,0,2,2,1,5,0,1,14,12,6,11,2,0,1,12,0,1,4,37,641,432
08,42,28,20,0,0,13,1,1,16,0,0,26,0,3,16,2,2,14,2,0,9,0,0,13,0,0,17,1,0,16,2,0,19,1,0,19,0,0,17,37,10,28,5,3,1,20,0,1,14,90,1264,905
09,42,19,15,0,0,20,2,1,14,0,1,22,1,2,23,1,0,15,0,0,16,1,1,21,1,0,22,0,1,25,0,1,22,2,1,18,1,2,34,33,20,21,4,1,5,22,1,0,19,79,1207,830
10,42,33,17,2,3,18,0,4,20,2,3,21,3,1,41,0,5,24,1,1,28,0,1,21,1,0,22,0,2,26,2,1,24,0,0,21,2,1,31,43,26,39,2,8,3,25,2,0,29,119,1817,1214
11,42,50,35,0,2,29,4,2,23,0,2,33,0,1,36,1,2,27,3,1,43,1,5,30,1,2,39,2,0,41,2,2,29,2,1,42,0,5,33,79,38,49,6,6,5,45,1,2,27,115,2311,1663
12,42,45,29,0,2,35,5,2,27,2,2,30,1,3,37,1,1,37,1,3,46,5,3,37,0,1,34,0,3,29,2,1,34,2,0,47,1,0,38,77,32,59,6,3,4,46,1,3,26,149,2360,1772
13,42,25,17,2,2,18,0,0,22,3,0,23,1,3,25,1,2,17,3,2,17,1,3,13,1,0,17,0,3,20,2,0,18,1,0,25,1,1,29,41,19,40,2,5,1,31,2,1,21,77,1474,1018
14,42,45,30,2,4,27,0,0,41,1,1,35,0,0,31,0,3,34,0,1,34,2,5,47,3,1,37,2,2,31,4,2,34,2,3,36,2,3,38,76,35,58,9,9,6,38,3,4,35,157,2390,1717
15,42,47,28,1,2,25,0,1,34,5,2,36,1,1,41,1,2,31,2,3,39,2,4,36,2,3,32,2,2,37,1,3,37,5,1,19,0,1,28,63,40,50,6,4,3,35,3,0,34,143,2394,1738
16,42,43,28,0,7,33,1,0,33,1,4,30,2,0,24,2,1,37,2,2,30,1,3,32,0,0,30,2,5,37,1,6,33,2,1,41,4,1,36,54,32,49,11,2,8,40,2,2,33,143,2423,1779
17_PRBS,42,48,26,1,1,35,1,2,29,1,3,26,4,0,27,0,1,22,1,4,35,4,3,27,1,2,42,2,3,29,4,1,31,6,2,37,1,2,33,66,24,64,10,6,10,41,3,3,25,129,2703,1724
18_PRBS,42,58,39,2,1,33,2,1,24,0,1,41,1,2,25,1,2,47,0,1,30,2,3,48,1,0,27,4,2,37,2,1,32,5,1,40,2,2,41,61,27,53,5,4,12,58,4,0,37,134,2700,1689
19_PRBS,42,53,33,2,0,18,0,3,34,3,1,40,2,3,32,1,5,29,1,3,37,1,1,30,6,3,35,1,3,29,0,0,29,1,0,24,3,4,32,71,35,51,7,4,6,42,1,0,32,135,2778,1731
20_ZSzeros,42,16,6,0,1,7,0,1,8,0,1,5,0,0,5,0,0,12,0,0,8,0,1,4,0,0,10,0,1,11,0,0,12,1,1,6,0,0,8,21,8,9,3,3,2,11,0,0,6,31,589,588
21_ZSones,42,11,11,2,0,6,0,0,9,1,1,12,0,0,9,0,2,6,0,2,7,0,0,11,1,1,11,1,0,5,0,0,9,2,1,11,0,0,10,14,6,9,2,2,1,16,0,0,5,32,928,374
22_PRBS,42,10,3,0,0,7,0,2,6,0,1,7,0,0,10,0,0,10,0,1,5,0,0,8,0,0,7,0,2,7,0,0,5,1,1,8,1,0,8,12,10,19,3,3,4,8,0,1,0,48,582,400
01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5
02,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
03,43,2,2,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2,0,0,2,0,0,1,1,0,3,0,0,0,1,0,0,1,6,61,47
04,43,7,5,0,0,7,0,0,5,1,0,7,0,0,4,0,0,2,2,2,3,0,0,7,0,1,5,0,0,7,0,0,5,0,0,2,0,0,7,12,3,11,0,0,1,7,0,0,4,29,340,258
05,43,2,2,0,0,1,1,0,3,0,0,3,0,0,2,0,0,1,1,0,2,0,0,4,0,0,2,0,0,2,0,0,1,0,0,4,1,0,4,4,2,5,0,0,0,8,0,1,0,7,162,99
06,43,10,8,0,1,5,0,0,9,1,0,6,0,1,8,0,0,5,0,2,12,0,1,9,1,0,7,0,1,5,0,0,8,0,0,7,0,0,4,12,6,12,1,2,2,11,1,0,7,34,481,360
07,43,14,2,0,0,10,0,0,7,1,1,11,0,1,10,0,1,9,0,0,5,0,1,11,1,4,7,0,0,7,0,0,9,2,1,5,0,1,3,20,9,15,0,3,2,11,0,0,7,43,637,426
08,43,22,10,1,1,11,1,1,16,0,0,9,1,0,16,0,1,15,1,1,16,0,2,20,2,1,17,0,1,16,1,1,18,1,0,19,2,1,15,36,22,34,4,6,1,16,2,0,14,89,1199,913
